Category: All categories

Week,raclette: (France)
2016-05-15,7
2016-05-22,6
2016-05-29,6
2016-06-05,5
2016-06-12,6
2016-06-19,6
2016-06-26,5
2016-07-03,5
2016-07-10,5
2016-07-17,4
2016-07-24,5
2016-07-31,7
2016-08-07,7
2016-08-14,7
2016-08-21,6
2016-08-28,7
2016-09-04,6
2016-09-11,9
2016-09-18,15
2016-09-25,19
2016-10-02,26
2016-10-09,44
2016-10-16,46
2016-10-23,49
2016-10-30,53
2016-11-06,64
2016-11-13,51
2016-11-20,51
2016-11-27,51
2016-12-04,51
2016-12-11,49
2016-12-18,44
2016-12-25,59
2017-01-01,38
2017-01-08,38
2017-01-15,49
2017-01-22,41
2017-01-29,34
2017-02-05,35
2017-02-12,33
2017-02-19,30
2017-02-26,25
2017-03-05,21
2017-03-12,18
2017-03-19,17
2017-03-26,12
2017-04-02,11
2017-04-09,11
2017-04-16,10
2017-04-23,9
2017-04-30,11
2017-05-07,8
2017-05-14,10
2017-05-21,7
2017-05-28,7
2017-06-04,6
2017-06-11,4
2017-06-18,5
2017-06-25,7
2017-07-02,5
2017-07-09,6
2017-07-16,7
2017-07-23,9
2017-07-30,7
2017-08-06,10
2017-08-13,9
2017-08-20,10
2017-08-27,11
2017-09-03,14
2017-09-10,23
2017-09-17,30
2017-09-24,26
2017-10-01,37
2017-10-08,41
2017-10-15,40
2017-10-22,48
2017-10-29,67
2017-11-05,64
2017-11-12,69
2017-11-19,72
2017-11-26,76
2017-12-03,75
2017-12-10,72
2017-12-17,65
2017-12-24,83
2017-12-31,57
2018-01-07,43
2018-01-14,45
2018-01-21,39
2018-01-28,43
2018-02-04,46
2018-02-11,40
2018-02-18,45
2018-02-25,42
2018-03-04,30
2018-03-11,28
2018-03-18,24
2018-03-25,19
2018-04-01,18
2018-04-08,13
2018-04-15,9
2018-04-22,9
2018-04-29,11
2018-05-06,7
2018-05-13,8
2018-05-20,8
2018-05-27,7
2018-06-03,7
2018-06-10,6
2018-06-17,6
2018-06-24,5
2018-07-01,7
2018-07-08,6
2018-07-15,6
2018-07-22,7
2018-07-29,6
2018-08-05,8
2018-08-12,11
2018-08-19,9
2018-08-26,11
2018-09-02,13
2018-09-09,14
2018-09-16,25
2018-09-23,30
2018-09-30,40
2018-10-07,49
2018-10-14,57
2018-10-21,67
2018-10-28,94
2018-11-04,76
2018-11-11,73
2018-11-18,73
2018-11-25,73
2018-12-02,72
2018-12-09,73
2018-12-16,67
2018-12-23,74
2018-12-30,71
2019-01-06,46
2019-01-13,53
2019-01-20,50
2019-01-27,41
2019-02-03,42
2019-02-10,42
2019-02-17,31
2019-02-24,30
2019-03-03,27
2019-03-10,26
2019-03-17,20
2019-03-24,15
2019-03-31,15
2019-04-07,14
2019-04-14,13
2019-04-21,11
2019-04-28,12
2019-05-05,13
2019-05-12,9
2019-05-19,9
2019-05-26,10
2019-06-02,7
2019-06-09,8
2019-06-16,7
2019-06-23,6
2019-06-30,6
2019-07-07,7
2019-07-14,7
2019-07-21,7
2019-07-28,8
2019-08-04,11
2019-08-11,13
2019-08-18,11
2019-08-25,10
2019-09-01,12
2019-09-08,17
2019-09-15,19
2019-09-22,30
2019-09-29,44
2019-10-06,57
2019-10-13,63
2019-10-20,73
2019-10-27,83
2019-11-03,76
2019-11-10,86
2019-11-17,90
2019-11-24,87
2019-12-01,79
2019-12-08,78
2019-12-15,74
2019-12-22,79
2019-12-29,87
2020-01-05,50
2020-01-12,52
2020-01-19,55
2020-01-26,50
2020-02-02,48
2020-02-09,50
2020-02-16,49
2020-02-23,38
2020-03-01,32
2020-03-08,24
2020-03-15,15
2020-03-22,18
2020-03-29,17
2020-04-05,13
2020-04-12,14
2020-04-19,13
2020-04-26,14
2020-05-03,12
2020-05-10,11
2020-05-17,9
2020-05-24,7
2020-05-31,9
2020-06-07,11
2020-06-14,10
2020-06-21,8
2020-06-28,9
2020-07-05,8
2020-07-12,9
2020-07-19,8
2020-07-26,6
2020-08-02,9
2020-08-09,9
2020-08-16,9
2020-08-23,13
2020-08-30,13
2020-09-06,15
2020-09-13,13
2020-09-20,32
2020-09-27,65
2020-10-04,73
2020-10-11,80
2020-10-18,75
2020-10-25,56
2020-11-01,56
2020-11-08,67
2020-11-15,100
2020-11-22,70
2020-11-29,80
2020-12-06,81
2020-12-13,80
2020-12-20,73
2020-12-27,95
2021-01-03,54
2021-01-10,55
2021-01-17,55
2021-01-24,52
2021-01-31,43
2021-02-07,43
2021-02-14,41
2021-02-21,35
2021-02-28,28
2021-03-07,25
2021-03-14,24
2021-03-21,19
2021-03-28,14
2021-04-04,17
2021-04-11,16
2021-04-18,12
2021-04-25,11
2021-05-02,12
2021-05-09,13
