Category: All categories

Week,cheese: (Worldwide)
2018-05-06,55
2018-05-13,55
2018-05-20,55
2018-05-27,59
2018-06-03,57
2018-06-10,55
2018-06-17,54
2018-06-24,56
2018-07-01,56
2018-07-08,57
2018-07-15,58
2018-07-22,60
2018-07-29,57
2018-08-05,60
2018-08-12,56
2018-08-19,57
2018-08-26,58
2018-09-02,60
2018-09-09,56
2018-09-16,56
2018-09-23,56
2018-09-30,58
2018-10-07,58
2018-10-14,60
2018-10-21,59
2018-10-28,59
2018-11-04,62
2018-11-11,68
2018-11-18,88
2018-11-25,60
2018-12-02,63
2018-12-09,66
2018-12-16,80
2018-12-23,88
2018-12-30,76
2019-01-06,70
2019-01-13,69
2019-01-20,64
2019-01-27,68
2019-02-03,65
2019-02-10,75
2019-02-17,68
2019-02-24,66
2019-03-03,67
2019-03-10,64
2019-03-17,59
2019-03-24,61
2019-03-31,59
2019-04-07,59
2019-04-14,64
2019-04-21,63
2019-04-28,59
2019-05-05,57
2019-05-12,53
2019-05-19,56
2019-05-26,58
2019-06-02,57
2019-06-09,58
2019-06-16,59
2019-06-23,54
2019-06-30,61
2019-07-07,59
2019-07-14,59
2019-07-21,59
2019-07-28,61
2019-08-04,62
2019-08-11,59
2019-08-18,58
2019-08-25,56
2019-09-01,59
2019-09-08,59
2019-09-15,58
2019-09-22,62
2019-09-29,62
2019-10-06,61
2019-10-13,66
2019-10-20,63
2019-10-27,62
2019-11-03,65
2019-11-10,66
2019-11-17,73
2019-11-24,91
2019-12-01,64
2019-12-08,71
2019-12-15,77
2019-12-22,92
2019-12-29,76
2020-01-05,71
2020-01-12,64
2020-01-19,65
2020-01-26,65
2020-02-02,66
2020-02-09,65
2020-02-16,62
2020-02-23,61
2020-03-01,61
2020-03-08,53
2020-03-15,54
2020-03-22,62
2020-03-29,71
2020-04-05,81
2020-04-12,81
2020-04-19,78
2020-04-26,82
2020-05-03,80
2020-05-10,78
2020-05-17,74
2020-05-24,70
2020-05-31,67
2020-06-07,70
2020-06-14,70
2020-06-21,69
2020-06-28,79
2020-07-05,68
2020-07-12,69
2020-07-19,68
2020-07-26,68
2020-08-02,68
2020-08-09,63
2020-08-16,61
2020-08-23,64
2020-08-30,64
2020-09-06,64
2020-09-13,65
2020-09-20,64
2020-09-27,62
2020-10-04,60
2020-10-11,62
2020-10-18,64
2020-10-25,61
2020-11-01,59
2020-11-08,67
2020-11-15,72
2020-11-22,90
2020-11-29,69
2020-12-06,70
2020-12-13,74
2020-12-20,97
2020-12-27,79
2021-01-03,66
2021-01-10,70
2021-01-17,67
2021-01-24,68
2021-01-31,73
2021-02-07,73
2021-02-14,68
2021-02-21,65
2021-02-28,62
2021-03-07,63
2021-03-14,60
2021-03-21,62
2021-03-28,69
2021-04-04,61
2021-04-11,61
2021-04-18,59
2021-04-25,60
2021-05-02,61
2021-05-09,57
2021-05-16,56
2021-05-23,58
2021-05-30,59
2021-06-06,59
2021-06-13,60
2021-06-20,60
2021-06-27,62
2021-07-04,59
2021-07-11,63
2021-07-18,63
2021-07-25,61
2021-08-01,61
2021-08-08,58
2021-08-15,60
2021-08-22,63
2021-08-29,58
2021-09-05,60
2021-09-12,60
2021-09-19,59
2021-09-26,60
2021-10-03,59
2021-10-10,61
2021-10-17,59
2021-10-24,60
2021-10-31,62
2021-11-07,67
2021-11-14,71
2021-11-21,94
2021-11-28,62
2021-12-05,69
2021-12-12,73
2021-12-19,100
2021-12-26,78
2022-01-02,67
2022-01-09,65
2022-01-16,62
2022-01-23,63
2022-01-30,66
2022-02-06,63
2022-02-13,68
2022-02-20,60
2022-02-27,59
2022-03-06,64
2022-03-13,60
2022-03-20,63
2022-03-27,60
2022-04-03,62
2022-04-10,70
2022-04-17,62
2022-04-24,61
2022-05-01,59
2022-05-08,57
2022-05-15,59
2022-05-22,56
2022-05-29,55
2022-06-05,57
2022-06-12,57
2022-06-19,60
2022-06-26,58
2022-07-03,61
2022-07-10,59
2022-07-17,59
2022-07-24,61
2022-07-31,61
2022-08-07,60
2022-08-14,61
2022-08-21,61
2022-08-28,60
2022-09-04,59
2022-09-11,61
2022-09-18,59
2022-09-25,62
2022-10-02,61
2022-10-09,61
2022-10-16,61
2022-10-23,59
2022-10-30,64
2022-11-06,64
2022-11-13,71
2022-11-20,86
2022-11-27,64
2022-12-04,61
2022-12-11,72
2022-12-18,89
2022-12-25,81
2023-01-01,70
2023-01-08,61
2023-01-15,62
2023-01-22,64
2023-01-29,65
2023-02-05,66
2023-02-12,66
2023-02-19,61
2023-02-26,61
2023-03-05,62
2023-03-12,63
2023-03-19,61
2023-03-26,63
2023-04-02,69
2023-04-09,61
2023-04-16,62
2023-04-23,59
