Category: All categories

Country,raclette grill: (1/1/04 - 5/5/23)
Switzerland,100
Germany,87
Austria,77
Iceland,68
Luxembourg,45
Lebanon,38
Hungary,36
Denmark,28
Norway,27
Canada,26
United Kingdom,20
Belgium,19
St. Helena,
Netherlands,16
France,15
Poland,14
Ireland,13
New Zealand,11
Sweden,9
Singapore,9
Romania,9
Hong Kong,8
Australia,8
Czechia,8
Serbia,8
South Africa,7
Spain,7
Italy,7
Croatia,7
Portugal,7
United States,6
United Arab Emirates,6
Ecuador,5
Finland,5
Lithuania,
Colombia,4
Philippines,4
Greece,4
Dominican Republic,
Argentina,2
Peru,2
Mexico,2
Brazil,1
Türkiye,1
Vietnam,1
India,<1
Antarctica,
North Korea,
Svalbard & Jan Mayen,
Micronesia,
American Samoa,
Caribbean Netherlands,
Liechtenstein,
Mayotte,
Greenland,
Chad,
St. Kitts & Nevis,
Isle of Man,
Guyana,
Jersey,
Malta,
Niger,
Burundi,
Curaçao,
Papua New Guinea,
Aruba,
Cuba,
Andorra,
Guam,
Réunion,
Fiji,
Mauritius,
Cyprus,
Trinidad & Tobago,
Somalia,
Qatar,
Latvia,
Estonia,
Gabon,
Afghanistan,
Tunisia,
Bosnia & Herzegovina,
Costa Rica,
Namibia,
North Macedonia,
Slovenia,
Haiti,
Laos,
Oman,
Slovakia,
Moldova,
Bulgaria,
Uganda,
Kuwait,
Mozambique,
Guatemala,
Bahrain,
Montenegro,
Nepal,
Paraguay,
Chile,
El Salvador,
Bolivia,
Puerto Rico,
Panama,
Georgia,
Cambodia,
Algeria,
Honduras,
South Korea,
Morocco,
Ghana,
Venezuela,
Egypt,
Ukraine,
Malaysia,
Kazakhstan,
Iraq,
Kenya,
Israel,
Saudi Arabia,
China,
Azerbaijan,
Thailand,
Nigeria,
Bangladesh,
Pakistan,
Belarus,
Taiwan,
Russia,
Indonesia,
Iran,
Japan,
Angola,
Anguilla,
Åland Islands,
Albania,
Armenia,
French Southern Territories,
Antigua & Barbuda,
Benin,
Burkina Faso,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
French Guiana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Jamaica,
Jordan,
Kyrgyzstan,
Kiribati,
Liberia,
Libya,
St. Lucia,
Sri Lanka,
Lesotho,
Macao,
St. Martin,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Myanmar (Burma),
Mongolia,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Malawi,
New Caledonia,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Pitcairn Islands,
Palau,
Palestine,
French Polynesia,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
Solomon Islands,
Sierra Leone,
San Marino,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
