Category: All categories

Week,raclette: (France)
2018-05-06,7
2018-05-13,8
2018-05-20,8
2018-05-27,6
2018-06-03,7
2018-06-10,6
2018-06-17,5
2018-06-24,5
2018-07-01,7
2018-07-08,6
2018-07-15,6
2018-07-22,6
2018-07-29,6
2018-08-05,8
2018-08-12,10
2018-08-19,9
2018-08-26,11
2018-09-02,12
2018-09-09,13
2018-09-16,24
2018-09-23,28
2018-09-30,37
2018-10-07,45
2018-10-14,53
2018-10-21,62
2018-10-28,86
2018-11-04,70
2018-11-11,67
2018-11-18,68
2018-11-25,68
2018-12-02,66
2018-12-09,68
2018-12-16,62
2018-12-23,70
2018-12-30,67
2019-01-06,43
2019-01-13,50
2019-01-20,46
2019-01-27,39
2019-02-03,39
2019-02-10,39
2019-02-17,29
2019-02-24,28
2019-03-03,26
2019-03-10,24
2019-03-17,19
2019-03-24,15
2019-03-31,14
2019-04-07,13
2019-04-14,13
2019-04-21,11
2019-04-28,11
2019-05-05,12
2019-05-12,8
2019-05-19,8
2019-05-26,9
2019-06-02,7
2019-06-09,8
2019-06-16,6
2019-06-23,6
2019-06-30,6
2019-07-07,6
2019-07-14,7
2019-07-21,7
2019-07-28,7
2019-08-04,9
2019-08-11,12
2019-08-18,10
2019-08-25,9
2019-09-01,11
2019-09-08,15
2019-09-15,18
2019-09-22,28
2019-09-29,40
2019-10-06,53
2019-10-13,60
2019-10-20,68
2019-10-27,78
2019-11-03,71
2019-11-10,82
2019-11-17,85
2019-11-24,82
2019-12-01,75
2019-12-08,74
2019-12-15,69
2019-12-22,73
2019-12-29,80
2020-01-05,47
2020-01-12,48
2020-01-19,51
2020-01-26,48
2020-02-02,44
2020-02-09,46
2020-02-16,47
2020-02-23,37
2020-03-01,30
2020-03-08,22
2020-03-15,14
2020-03-22,16
2020-03-29,16
2020-04-05,12
2020-04-12,13
2020-04-19,12
2020-04-26,13
2020-05-03,11
2020-05-10,10
2020-05-17,9
2020-05-24,7
2020-05-31,9
2020-06-07,10
2020-06-14,9
2020-06-21,8
2020-06-28,8
2020-07-05,8
2020-07-12,9
2020-07-19,7
2020-07-26,6
2020-08-02,9
2020-08-09,8
2020-08-16,9
2020-08-23,12
2020-08-30,11
2020-09-06,14
2020-09-13,12
2020-09-20,30
2020-09-27,59
2020-10-04,68
2020-10-11,73
2020-10-18,70
2020-10-25,53
2020-11-01,52
2020-11-08,62
2020-11-15,96
2020-11-22,65
2020-11-29,76
2020-12-06,75
2020-12-13,75
2020-12-20,68
2020-12-27,89
2021-01-03,50
2021-01-10,51
2021-01-17,51
2021-01-24,49
2021-01-31,42
2021-02-07,40
2021-02-14,38
2021-02-21,33
2021-02-28,26
2021-03-07,24
2021-03-14,22
2021-03-21,18
2021-03-28,13
2021-04-04,15
2021-04-11,14
2021-04-18,11
2021-04-25,10
2021-05-02,11
2021-05-09,12
2021-05-16,12
2021-05-23,10
2021-05-30,8
2021-06-06,7
2021-06-13,5
2021-06-20,8
2021-06-27,8
2021-07-04,9
2021-07-11,9
2021-07-18,8
2021-07-25,9
2021-08-01,13
2021-08-08,12
2021-08-15,10
2021-08-22,13
2021-08-29,11
2021-09-05,12
2021-09-12,13
2021-09-19,21
2021-09-26,33
2021-10-03,45
2021-10-10,55
2021-10-17,60
2021-10-24,76
2021-10-31,83
2021-11-07,88
2021-11-14,77
2021-11-21,78
2021-11-28,80
2021-12-05,87
2021-12-12,81
2021-12-19,74
2021-12-26,91
2022-01-02,57
2022-01-09,59
2022-01-16,52
2022-01-23,51
2022-01-30,51
2022-02-06,45
2022-02-13,44
2022-02-20,42
2022-02-27,33
2022-03-06,29
2022-03-13,26
2022-03-20,21
2022-03-27,21
2022-04-03,19
2022-04-10,15
2022-04-17,13
2022-04-24,12
2022-05-01,11
2022-05-08,14
2022-05-15,8
2022-05-22,10
2022-05-29,8
2022-06-05,8
2022-06-12,8
2022-06-19,8
2022-06-26,8
2022-07-03,8
2022-07-10,8
2022-07-17,8
2022-07-24,10
2022-07-31,10
2022-08-07,9
2022-08-14,13
2022-08-21,13
2022-08-28,12
2022-09-04,16
2022-09-11,21
2022-09-18,35
2022-09-25,51
2022-10-02,57
2022-10-09,62
2022-10-16,61
2022-10-23,63
2022-10-30,82
2022-11-06,80
2022-11-13,81
2022-11-20,85
2022-11-27,88
2022-12-04,82
2022-12-11,100
2022-12-18,86
2022-12-25,99
2023-01-01,62
2023-01-08,62
2023-01-15,57
2023-01-22,61
2023-01-29,54
2023-02-05,52
2023-02-12,51
2023-02-19,46
2023-02-26,40
2023-03-05,35
2023-03-12,29
2023-03-19,23
2023-03-26,22
2023-04-02,19
2023-04-09,16
2023-04-16,15
2023-04-23,15
